timestamp,modality,participant,action,details,comment,group
2023-11-29 09:39:09.449000+00:00,Touch,GREEN,highlight,"sentence 'Additional resources Sidell FR. Riot control agents. In: Zajtchuk R, Bellamy RF, eds. Textbook of military medicine: medical aspects of chemical and biological warfare. Washington, DC: Office of the Surgeon General at TMM Publications, Borden Institute, Walter Reed Army Medical Center ; 1997:307-24. Arsenic (Inorganic) Clinical description Acute ingestion of toxic amounts of inorganic arsenic typically causes severe gastrointestinal signs and symptoms (e.' in document 1059",,G1
2023-11-29 09:39:10.129000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:39:11.816000+00:00,Touch,GREEN,highlight,sentence 'The effects of adamsite poisoning take minutes to begin and might last for hours (1).' in document 1059,,G1
2023-11-29 09:39:12.249000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:39:13.875000+00:00,Touch,GREEN,highlight,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:14.140000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:39:15.319000+00:00,Touch,GREEN,clear,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:16.266000+00:00,Touch,GREEN,highlight,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:16.939000+00:00,Touch,GREEN,clear,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:17.642000+00:00,Touch,GREEN,highlight,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:18.731000+00:00,Touch,GREEN,clear,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:19.678000+00:00,Touch,GREEN,highlight,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
2023-11-29 09:39:20.438000+00:00,Touch,GREEN,clear,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
2023-11-29 09:39:21.479000+00:00,Touch,BLUE,highlight,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:22.264000+00:00,Touch,BLUE,clear,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:24.205000+00:00,Touch,GREEN,highlight,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
2023-11-29 09:39:24.978000+00:00,Touch,BLUE,clear,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
2023-11-29 09:39:25.295000+00:00,Touch,GREEN,highlight,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
2023-11-29 09:39:25.537000+00:00,Touch,BLUE,clear,"sentence 'Additional resources Sidell FR. Riot control agents. In: Zajtchuk R, Bellamy RF, eds. Textbook of military medicine: medical aspects of chemical and biological warfare. Washington, DC: Office of the Surgeon General at TMM Publications, Borden Institute, Walter Reed Army Medical Center ; 1997:307-24. Arsenic (Inorganic) Clinical description Acute ingestion of toxic amounts of inorganic arsenic typically causes severe gastrointestinal signs and symptoms (e.' in document 1059",,G1
2023-11-29 09:39:25.826000+00:00,Touch,BLUE,highlight,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:25.918000+00:00,Touch,BLUE,clear,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:27.194000+00:00,Touch,BLUE,highlight,"sentence 'Different clinical manifestations might follow, including dysrhythmias (prolonged QT, T-wave changes), altered mental status, and multisystem organ failure that might ultimately result in death (1-4).' in document 1059",,G1
2023-11-29 09:39:28.463000+00:00,Touch,BLUE,clear,"sentence 'Different clinical manifestations might follow, including dysrhythmias (prolonged QT, T-wave changes), altered mental status, and multisystem organ failure that might ultimately result in death (1-4).' in document 1059",,G1
2023-11-29 09:39:29.594000+00:00,Touch,BLUE,highlight,"sentence 'Different clinical manifestations might follow, including dysrhythmias (prolonged QT, T-wave changes), altered mental status, and multisystem organ failure that might ultimately result in death (1-4).' in document 1059",,G1
2023-11-29 09:39:30.565000+00:00,Touch,BLUE,clear,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
2023-11-29 09:39:31.394000+00:00,Touch,BLUE,clear,"sentence 'Different clinical manifestations might follow, including dysrhythmias (prolonged QT, T-wave changes), altered mental status, and multisystem organ failure that might ultimately result in death (1-4).' in document 1059",,G1
2023-11-29 09:39:34.512000+00:00,Touch,BLUE,moved,document 1059,,G1
2023-11-29 09:39:37.449000+00:00,Touch,GREEN,clear,sentence 'The effects of adamsite poisoning take minutes to begin and might last for hours (1).' in document 1059,,G1
2023-11-29 09:39:40.838000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:39:44.095000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:39:48.987000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:39:54.674000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:39:59.151000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:40:02.354000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:40:12.409000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:40:27.322000+00:00,Voice,BLUE,error,reportRecognitionError,,G1
2023-11-29 09:40:30.408000+00:00,Voice,GREEN,error,reportRecognitionError,,G1
2023-11-29 09:40:31.262000+00:00,Voice,BLUE,searching,smell,,G1
2023-11-29 09:40:35.421000+00:00,Voice,GREEN,close,document 59,,G1
2023-11-29 09:40:39.824000+00:00,Touch,BLUE,open,document 1059,,G1
2023-11-29 09:40:44.627000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:40:52.010000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:41:08.680000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:41:13.505000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:41:21.929000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:41:24.340000+00:00,Touch,GREEN,highlight,"sentence 'An Springfield Daily newspaper route chief was preparing papers for his route nearby at the time, and overheard the man yelling as police and emergency workers worked to secure the agitated driver into the ambulance.' in document 1004",,G1
2023-11-29 09:41:25.336000+00:00,Touch,GREEN,clear,"sentence 'An Springfield Daily newspaper route chief was preparing papers for his route nearby at the time, and overheard the man yelling as police and emergency workers worked to secure the agitated driver into the ambulance.' in document 1004",,G1
2023-11-29 09:41:26.388000+00:00,Touch,GREEN,highlight,sentence 'He said something like 'flowers' in document 1004,,G1
2023-11-29 09:41:27.635000+00:00,Touch,GREEN,clear,sentence 'He said something like 'flowers' in document 1004,,G1
2023-11-29 09:41:27.740000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:41:31.314000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:41:32.234000+00:00,Touch,GREEN,highlight,sentence '' He then said something like 'flowers' in document 1004,,G1
2023-11-29 09:41:33.109000+00:00,Touch,GREEN,clear,sentence '' He then said something like 'flowers' in document 1004,,G1
2023-11-29 09:41:36.793000+00:00,Touch,GREEN,highlight,sentence '' He then said something like 'flowers' in document 1004,,G1
2023-11-29 09:41:43.443000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:41:54.979000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:41:55.722000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:41:58.266000+00:00,Touch,BLUE,close,document 1059,,G1
2023-11-29 09:42:22.019000+00:00,Voice,GREEN,searching,victory,,G1
2023-11-29 09:42:48.165000+00:00,Touch,GREEN,open,document 1039,,G1
2023-11-29 09:42:57.178000+00:00,Touch,BLUE,open,document 1047,,G1
2023-11-29 09:43:11.039000+00:00,Touch,GREEN,open,document 1053,,G1
2023-11-29 09:43:12.359000+00:00,Touch,BLUE,moved,document 1047,,G1
2023-11-29 09:43:14.850000+00:00,Touch,GREEN,moved,selected documents including 1053,,G1
2023-11-29 09:43:20.251000+00:00,Touch,BLUE,select,document 1047,,G1
2023-11-29 09:43:22.716000+00:00,Touch,BLUE,deselect,document 1047,,G1
2023-11-29 09:43:24.344000+00:00,Touch,GREEN,select,document 1047,,G1
2023-11-29 09:43:25.085000+00:00,Touch,GREEN,tag,all selected articles with tag: POLICE,,G1
2023-11-29 09:43:26.821000+00:00,Touch,GREEN,deselect,document 1047,,G1
2023-11-29 09:43:46.246000+00:00,Touch,BLUE,highlight,"sentence ''We told everyone we could think of,' says 17 year old Grimes.' in document 1047",,G1
2023-11-29 09:43:47.606000+00:00,Touch,BLUE,highlight,"sentence '' 'That's why we posted the video,' added 18 year old Ramierez.' in document 1047",,G1
2023-11-29 09:43:48.680000+00:00,Touch,BLUE,highlight,sentence 'Jose Hernandez states there is no evidence of other illegal activities on the tapes except the boys.' in document 1047,,G1
2023-11-29 09:43:49.200000+00:00,Touch,BLUE,clear,"sentence '' 'That's why we posted the video,' added 18 year old Ramierez.' in document 1047",,G1
2023-11-29 09:43:50.057000+00:00,Touch,BLUE,clear,sentence 'Jose Hernandez states there is no evidence of other illegal activities on the tapes except the boys.' in document 1047,,G1
2023-11-29 09:43:50.739000+00:00,Touch,BLUE,highlight,"sentence '' 'That's why we posted the video,' added 18 year old Ramierez.' in document 1047",,G1
2023-11-29 09:43:51.678000+00:00,Touch,BLUE,highlight,sentence 'Jose Hernandez states there is no evidence of other illegal activities on the tapes except the boys.' in document 1047,,G1
2023-11-29 09:43:52.618000+00:00,Touch,BLUE,highlight,"sentence 'The silo used to house missile protection for the Groves Weapons Annex south of town, but was abandoned and decommissioned in the early 1990's.' in document 1047",,G1
2023-11-29 09:43:53.151000+00:00,Touch,BLUE,clear,"sentence '' 'That's why we posted the video,' added 18 year old Ramierez.' in document 1047",,G1
2023-11-29 09:43:53.808000+00:00,Touch,BLUE,clear,"sentence 'The silo used to house missile protection for the Groves Weapons Annex south of town, but was abandoned and decommissioned in the early 1990's.' in document 1047",,G1
2023-11-29 09:43:54.667000+00:00,Touch,BLUE,highlight,"sentence 'The silo used to house missile protection for the Groves Weapons Annex south of town, but was abandoned and decommissioned in the early 1990's.' in document 1047",,G1
2023-11-29 09:43:55.515000+00:00,Touch,BLUE,clear,"sentence 'The silo used to house missile protection for the Groves Weapons Annex south of town, but was abandoned and decommissioned in the early 1990's.' in document 1047",,G1
2023-11-29 09:43:56.017000+00:00,Touch,BLUE,clear,sentence 'Jose Hernandez states there is no evidence of other illegal activities on the tapes except the boys.' in document 1047,,G1
2023-11-29 09:43:57.012000+00:00,Touch,BLUE,clear,"sentence ''We told everyone we could think of,' says 17 year old Grimes.' in document 1047",,G1
2023-11-29 09:44:00.537000+00:00,Touch,BLUE,moved,document 1047,,G1
2023-11-29 09:44:02.746000+00:00,Touch,BLUE,open,document 1060,,G1
2023-11-29 09:44:30.136000+00:00,Touch,BLUE,select,document 1060,,G1
2023-11-29 09:44:31.477000+00:00,Touch,BLUE,select,document 1047,,G1
2023-11-29 09:44:34.257000+00:00,Touch,BLUE,add,tag,,G1
2023-11-29 09:44:34.326000+00:00,Touch,BLUE,moved,selected documents including 1047,,G1
2023-11-29 09:44:35.573000+00:00,Touch,BLUE,add,tag,,G1
2023-11-29 09:44:44.259000+00:00,Touch,BLUE,select,document 1053,,G1
2023-11-29 09:44:49.147000+00:00,Touch,BLUE,moved,selected documents including 1047,,G1
2023-11-29 09:44:52.909000+00:00,Touch,BLUE,moved,document 1034,,G1
2023-11-29 09:45:07.313000+00:00,Touch,BLUE,add,tag SILO,,G1
2023-11-29 09:45:08.543000+00:00,Touch,BLUE,tag,all selected articles with tag: SILO,,G1
2023-11-29 09:45:09.818000+00:00,Touch,GREEN,close,document 1004,,G1
2023-11-29 09:45:12.814000+00:00,Touch,BLUE,moved,selected documents including 1047,,G1
2023-11-29 09:45:15.353000+00:00,Touch,BLUE,deselect,document 1060,,G1
2023-11-29 09:45:15.667000+00:00,Touch,BLUE,deselect,document 1053,,G1
2023-11-29 09:45:15.883000+00:00,Touch,BLUE,deselect,document 1047,,G1
2023-11-29 09:45:17.180000+00:00,Voice,GREEN,searching,war,,G1
2023-11-29 09:45:24.245000+00:00,Touch,BLUE,moved,document 1060,,G1
2023-11-29 09:45:24.433000+00:00,Touch,BLUE,moved,document 1060,,G1
2023-11-29 09:45:25.167000+00:00,Touch,GREEN,open,document 1033,,G1
2023-11-29 09:45:25.268000+00:00,Touch,BLUE,moved,document 1060,,G1
2023-11-29 09:45:26.538000+00:00,Touch,BLUE,close,document 1033,,G1
2023-11-29 09:45:26.671000+00:00,Touch,BLUE,moved,document 1033,,G1
2023-11-29 09:45:26.927000+00:00,Touch,BLUE,open,document 1060,,G1
2023-11-29 09:45:28.793000+00:00,Touch,BLUE,open,document 1033,,G1
2023-11-29 09:45:33.028000+00:00,Touch,BLUE,moved,document 1060,,G1
2023-11-29 09:45:35.118000+00:00,Touch,GREEN,moved,document 1053,,G1
