modality,person,subtask
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,scroll
Touch,P9,close document
Touch,P9,move document
Touch,P9,move document
Touch,P10,scroll
Touch,P9,open document
Touch,P10,scroll
Touch,P9,close document
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,delete tag
Speech,P10,select document
Touch,P10,deselect document
Speech,P10,search
Touch,P9,open document
Touch,P9,close document
Touch,P9,open document
Touch,P10,open document
Touch,P9,close document
Touch,P10,close document
Touch,P10,open document
Touch,P10,close document
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,search
Touch,P9,search
Touch,P9,open document
Touch,P10,search
Touch,P10,open document
Touch,P9,close document
Touch,P10,scroll
Touch,P9,scroll
Touch,P9,close document
Touch,P9,move selected docs
Touch,P9,open document
Touch,P9,scroll
Speech,P10,search
Touch,P9,scroll
Speech,P10,search
Touch,P9,scroll
Speech,P10,search
Touch,P9,scroll
Touch,P9,scroll
Touch,P10,open document
Touch,P9,scroll
Touch,P9,move selected docs
Touch,P9,move selected docs
Touch,P9,close document
Touch,P10,search
Speech,P10,search
Speech,P10,search
Touch,P10,deselect document
Touch,P9,close document
Touch,P10,search
Touch,P9,move document
Touch,P9,close document
Touch,P10,open document
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,scroll
Touch,P9,scroll
Speech,P10,search
Touch,P9,search
Touch,P10,close document
Touch,P9,open document
Touch,P9,close document
Touch,P9,move selected docs
Touch,P9,open document
Touch,P10,open document
Touch,P10,move document
Touch,P10,move document
Touch,P9,move document
Touch,P9,close document
Touch,P9,open document
Touch,P9,move document
Touch,P9,move document
Touch,P9,close document
Touch,P9,mark sentence
Touch,P9,mark sentence
Touch,P10,search
Touch,P9,close document
Touch,P9,open document
Touch,P10,search
Touch,P9,open document
Touch,P9,mark sentence
Touch,P10,mark sentence
Touch,P10,clear sentence
Touch,P10,mark sentence
Touch,P9,open document
Touch,P9,scroll
Touch,P9,scroll
Touch,P10,open document
Touch,P9,move document
Touch,P9,move document
Touch,P9,close document
Touch,P9,open document
Touch,P9,close document
Touch,P9,scroll
Touch,P9,scroll
Touch,P9,mark sentence
Touch,P9,mark sentence
Touch,P9,clear sentence
Touch,P9,mark sentence
Touch,P10,open document
Touch,P10,move document
Touch,P10,close document
Touch,P10,move document
Touch,P9,open document
Touch,P9,close document
Touch,P9,open document
Touch,P9,close document
Touch,P9,open document
Touch,P10,open document
Touch,P9,open document
Touch,P9,close document
Touch,P10,search
Touch,P10,open document
Touch,P10,close document
Touch,P10,open document
Touch,P10,scroll
Touch,P10,scroll
Touch,P9,close document
Touch,P9,open document
Touch,P10,scroll
Touch,P9,move document
Touch,P9,move document
Touch,P9,close document
Touch,P9,move selected docs
Touch,P10,open document
Touch,P9,open document
Touch,P10,search
Touch,P10,close document
Touch,P10,close document
Touch,P10,open document
Touch,P10,close document
Touch,P10,close document
Touch,P10,close document
Touch,P10,open document
Touch,P10,close document
Touch,P10,open document
Touch,P9,move document
Touch,P10,scroll
Touch,P9,close document
Touch,P9,close document
Touch,P9,close document
Touch,P9,open document
Touch,P10,move document
Touch,P10,close document
Touch,P10,open document
Touch,P9,scroll
Touch,P9,scroll
Touch,P9,close document
Touch,P9,open document
Touch,P10,search
Touch,P9,close document
Touch,P9,open document
Touch,P9,close document
Touch,P9,open document
Touch,P10,search
Touch,P10,open document
Touch,P10,open document
Touch,P9,close document
Touch,P10,close document
Touch,P10,close document
Touch,P9,close document
Touch,P9,open document
Touch,P9,close document
Touch,P10,open document
Touch,P10,open document
Touch,P10,open document
Touch,P10,close document
Touch,P10,close document
Touch,P9,open document
Touch,P10,search
Touch,P10,scroll
Touch,P10,scroll
Touch,P9,close document
Touch,P9,open document
Touch,P10,scroll
Touch,P9,scroll
Touch,P9,open document
Touch,P10,scroll
Touch,P9,close document
Touch,P10,scroll
Touch,P10,scroll
Touch,P9,move document
Touch,P9,open document
Touch,P9,close document
Touch,P9,open document
Touch,P9,move document
Touch,P9,scroll
Touch,P9,scroll
Touch,P9,mark sentence
Touch,P10,scroll
Touch,P9,close document
Touch,P9,move document
Touch,P9,open document
Touch,P10,scroll
Touch,P10,scroll
Touch,P9,move document
Touch,P9,close document
Touch,P10,scroll
Touch,P10,move document
Touch,P9,move document
Touch,P10,scroll
Touch,P10,scroll
Speech,P11,sort
Touch,P11,open document
Touch,P11,move document
Touch,P11,move document
Touch,P11,mark sentence
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P11,mark sentence
Touch,P12,move document
Speech,P11,add tag
Touch,P12,close document
Touch,P12,move document
Touch,P12,move document
Touch,P12,search
Touch,P12,open document
Speech,P11,search
Touch,P11,move document
Touch,P11,move document
Touch,P11,delete tag
Touch,P11,open document
Touch,P11,close document
Touch,P12,move document
Speech,P11,search
Speech,P11,add tag
Touch,P11,open document
Touch,P11,move document
Touch,P11,add tag
Touch,P11,delete tag
Speech,P11,add tag
Touch,P12,move document
Touch,P12,mark sentence
Touch,P12,mark sentence
Touch,P12,mark sentence
Touch,P11,assign tag
Touch,P11,move document
Touch,P11,select document
Touch,P11,select document
Touch,P11,select document
Touch,P11,assign tag
Touch,P11,remove tag
Touch,P11,delete tag
Touch,P11,add tag
Touch,P11,assign tag
Touch,P12,close document
Touch,P12,move document
Touch,P12,move document
Touch,P12,open document
Touch,P11,close document
Touch,P11,move selected docs
Touch,P11,open document
Touch,P11,move selected docs
Touch,P11,move selected docs
Touch,P11,move selected docs
Touch,P11,open document
Touch,P11,move selected docs
Touch,P11,open document
Touch,P11,close document
Touch,P11,open document
Touch,P11,move selected docs
Touch,P11,open document
Touch,P12,move document
Touch,P12,move document
Touch,P11,scroll
Touch,P12,move document
Touch,P12,move document
Touch,P12,close document
Touch,P12,move document
Touch,P12,move document
Touch,P12,open document
Touch,P12,close document
Touch,P12,open document
Touch,P12,move document
Touch,P12,move document
Touch,P11,scroll
Touch,P12,open document
Touch,P12,move document
Touch,P12,move document
Touch,P12,mark sentence
Touch,P12,move document
Touch,P11,scroll
Touch,P12,open document
Touch,P12,close document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P11,scroll
Touch,P11,scroll
Touch,P12,close document
Touch,P11,mark sentence
Touch,P12,move document
Touch,P12,move document
Touch,P11,close document
Touch,P11,open document
Touch,P12,move document
Touch,P12,move document
Touch,P12,open document
Touch,P12,close document
Touch,P12,move document
Touch,P11,close document
Touch,P11,open document
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P12,move document
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P12,move document
Touch,P12,move document
Touch,P11,mark sentence
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P11,mark sentence
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P11,mark sentence
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P11,mark sentence
Touch,P11,mark sentence
Touch,P11,close document
Speech,P11,deselect all
Touch,P12,open document
Touch,P12,move document
Touch,P12,move document
Touch,P12,mark sentence
Touch,P12,mark sentence
Touch,P12,clear sentence
Touch,P12,mark sentence
Touch,P12,clear sentence
Touch,P12,clear sentence
Touch,P12,close document
Touch,P12,open document
Touch,P12,move document
Speech,P11,search
Touch,P11,move document
Touch,P11,open document
Touch,P11,mark sentence
Touch,P11,mark sentence
Touch,P11,mark sentence
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P11,clear sentence
Touch,P11,clear sentence
Touch,P11,clear sentence
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P12,close document
Touch,P11,mark sentence
Touch,P11,mark sentence
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P11,mark sentence
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P11,clear sentence
Touch,P12,move document
Touch,P12,move document
Touch,P12,open document
Touch,P11,close document
Touch,P11,open document
Touch,P11,move selected docs
Touch,P11,open document
Touch,P11,move selected docs
Touch,P11,move selected docs
Touch,P11,open document
Touch,P12,close document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,open document
Touch,P11,close document
Touch,P11,open document
Touch,P12,scroll
Touch,P12,scroll
Touch,P11,scroll
Touch,P11,scroll
Touch,P12,mark sentence
Touch,P12,scroll
Touch,P12,scroll
Touch,P12,scroll
Touch,P12,scroll
Touch,P12,mark sentence
Touch,P12,clear sentence
Touch,P12,scroll
Touch,P11,scroll
Touch,P11,close document
Speech,P11,deselect all
Touch,P12,mark sentence
Touch,P11,search
Touch,P12,mark sentence
Touch,P11,search
Touch,P11,move document
Touch,P11,open document
Touch,P12,mark sentence
Touch,P12,clear sentence
Touch,P12,mark sentence
Touch,P11,close document
Touch,P12,mark sentence
Touch,P12,mark sentence
Touch,P12,clear sentence
Touch,P11,open document
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P11,mark sentence
Touch,P11,select document
Touch,P11,add tag
Touch,P11,open document
Touch,P11,close document
Touch,P11,open document
Touch,P11,close document
Touch,P12,move document
Touch,P12,open document
Touch,P12,scroll
Touch,P12,scroll
Touch,P12,scroll
Touch,P12,scroll
Touch,P12,scroll
Touch,P11,move document
Touch,P11,open document
Touch,P11,close document
Touch,P11,open document
Touch,P11,close document
Touch,P11,move document
Touch,P11,move document
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P11,mark sentence
Touch,P11,mark sentence
Touch,P12,close document
Touch,P12,open document
Touch,P12,move document
Touch,P11,mark sentence
Touch,P11,clear sentence
Touch,P11,mark sentence
Speech,P11,select document
Touch,P11,assign tag
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Speech,P11,sort
Touch,P11,close document
Touch,P11,open document
Touch,P11,close document
Touch,P11,close document
Touch,P11,open document
Touch,P11,close document
Touch,P12,open document
Touch,P11,scroll
Touch,P11,scroll
Touch,P11,scroll
Touch,P12,move document
Touch,P12,close document
Touch,P12,move selected docs
Touch,P12,close document
Touch,P12,search
Touch,P12,move document
Touch,P12,move document
Touch,P12,open document
Touch,P11,search
Speech,P11,deselect all
Touch,P12,mark sentence
Touch,P12,move document
Touch,P12,move document
Touch,P12,mark sentence
Touch,P11,open document
Touch,P12,move document
Touch,P12,mark sentence
Touch,P12,clear sentence
Touch,P12,mark sentence
Touch,P12,clear sentence
Touch,P12,mark sentence
Touch,P12,move document
Touch,P12,move document
Touch,P12,search
Touch,P12,open document
Touch,P11,close document
Touch,P11,open document
Touch,P12,move document
Touch,P12,open document
Touch,P12,move document
Touch,P12,move document
Speech,P11,search
Touch,P12,move document
Speech,P11,search
Speech,P11,search
Touch,P12,close document
Touch,P12,move document
Touch,P12,move document
Touch,P12,close document
Touch,P12,move document
Touch,P12,close document
Touch,P12,move document
Touch,P12,move document
Touch,P12,open document
Touch,P12,clear sentence
Touch,P12,move document
Touch,P12,move document
Touch,P11,open document
Touch,P12,move document
Touch,P12,move document
Touch,P11,close document
Touch,P11,open document
Touch,P12,move document
Touch,P12,move document
Touch,P12,open document
Touch,P12,close document
Touch,P12,close document
Touch,P12,open document
Touch,P12,move document
Speech,P11,search
Touch,P12,move document
Touch,P12,move document
Touch,P12,move document
Speech,P11,search
Touch,P12,move document
Speech,P11,search
Touch,P11,search
Touch,P12,move document
Touch,P11,move document
Touch,P11,close document
Touch,P11,open document
Touch,P11,close document
Touch,P12,move document
Touch,P11,move document
Touch,P11,move document
Touch,P12,move document
Touch,P11,open document
Touch,P11,move document
Touch,P12,mark sentence
Touch,P11,close document
Touch,P11,move document
Touch,P11,move document
Touch,P11,open document
Touch,P11,move document
Touch,P11,move document
Touch,P12,move document
Touch,P12,move document
Touch,P12,close document
Touch,P12,open document
Touch,P12,scroll
Touch,P12,scroll
Touch,P12,scroll
Touch,P12,scroll
Touch,P11,close document
Touch,P11,open document
Touch,P12,scroll
Touch,P12,scroll
Touch,P11,close document
Touch,P12,scroll
Touch,P11,open document
Touch,P12,scroll
Touch,P13,open document
Touch,P13,delete tag
Touch,P13,clear search
Touch,P13,close document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,open document
Touch,P14,move document
Touch,P14,mark sentence
Touch,P14,clear sentence
Touch,P14,move document
Touch,P13,mark sentence
Touch,P13,clear sentence
Touch,P13,mark sentence
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,deselect all
Touch,P14,move selected docs
Speech,P14,open document
Speech,P14,close document
Touch,P13,move document
Touch,P13,move document
Speech,P14,open document
Touch,P14,select document
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,mark sentence
Touch,P13,scroll
Speech,P14,close document
Touch,P13,scroll
Speech,P14,sort
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,close document
Touch,P14,select document
Touch,P14,deselect document
Touch,P14,select document
Touch,P14,deselect document
Touch,P14,select document
Touch,P14,move selected docs
Touch,P14,move selected docs
Touch,P13,select document
Touch,P14,deselect document
Touch,P14,select document
Touch,P14,deselect document
Touch,P14,select document
Touch,P14,select document
Touch,P14,move selected docs
Touch,P14,move selected docs
Touch,P13,select document
Touch,P14,move selected docs
Touch,P14,move selected docs
Touch,P14,move document
Touch,P14,move document
Touch,P14,deselect document
Touch,P14,move document
Touch,P14,move document
Touch,P14,move document
Touch,P14,move document
Touch,P13,open document
Touch,P13,close document
Touch,P14,select document
Touch,P14,move selected docs
Touch,P13,open document
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P14,move selected docs
Touch,P13,open document
Touch,P13,mark sentence
Touch,P13,mark sentence
Speech,P14,open document
Touch,P13,clear sentence
Touch,P13,scroll
Touch,P13,clear sentence
Touch,P13,mark sentence
Touch,P13,scroll
Touch,P13,scroll
Touch,P13,move selected docs
Touch,P13,open document
Touch,P14,mark sentence
Touch,P13,scroll
Touch,P13,scroll
Touch,P13,scroll
Touch,P13,clear sentence
Speech,P14,scroll
Touch,P14,scroll
Touch,P14,deselect document
Touch,P14,close document
Touch,P13,search
Touch,P13,deselect document
Touch,P13,close document
Touch,P13,deselect document
Touch,P13,deselect document
Touch,P13,deselect document
Touch,P13,deselect document
Touch,P13,select document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,open document
Speech,P14,select document
Speech,P14,open document
Touch,P13,mark sentence
Touch,P13,move selected docs
Touch,P13,clear sentence
Touch,P13,scroll
Touch,P13,scroll
Touch,P13,scroll
Speech,P14,close document
Touch,P13,close document
Touch,P13,clear search
Touch,P14,open document
Touch,P14,close document
Touch,P13,search
Touch,P13,deselect document
Touch,P13,select document
Touch,P13,select document
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,close document
Touch,P13,move document
Touch,P13,open document
Touch,P13,move document
Touch,P13,move document
Touch,P14,open document
Touch,P13,close document
Touch,P13,move selected docs
Touch,P13,open document
Touch,P14,close document
Speech,P14,open document
Touch,P14,move document
Touch,P13,mark sentence
Touch,P14,mark sentence
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,close document
Touch,P13,move selected docs
Touch,P13,open document
Speech,P14,scroll
Touch,P14,scroll
Speech,P14,close document
Touch,P14,search
Touch,P14,search
Touch,P13,scroll
Touch,P13,close document
Touch,P13,move document
Touch,P14,select document
Touch,P14,deselect document
Touch,P14,open document
Touch,P13,open document
Touch,P14,close document
Touch,P13,close document
Touch,P13,move selected docs
Touch,P14,select document
Touch,P14,select document
Touch,P14,select document
Touch,P14,select document
Touch,P14,deselect document
Touch,P13,open document
Touch,P13,mark sentence
Touch,P13,scroll
Touch,P13,close document
Touch,P13,select document
Speech,P14,open document
Touch,P13,move document
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,move selected docs
Touch,P13,open document
Speech,P14,close document
Speech,P14,close document
Speech,P14,open document
Touch,P13,mark sentence
Touch,P13,scroll
Touch,P13,clear sentence
Speech,P14,scroll
Speech,P14,scroll
Touch,P13,scroll
Speech,P14,scroll
Touch,P13,close document
Touch,P13,open document
Touch,P13,close document
Touch,P13,open document
Touch,P13,close document
Touch,P13,open document
Touch,P13,scroll
Touch,P13,scroll
Touch,P13,scroll
Speech,P14,close document
Touch,P13,scroll
Speech,P14,open document
Touch,P13,close document
Touch,P13,search
Touch,P13,search
Touch,P13,clear search
Touch,P13,clear search
Touch,P13,open document
Touch,P13,close document
Touch,P13,open document
Touch,P13,close document
Speech,P14,open document
Touch,P13,search
Touch,P13,open document
Speech,P14,close document
Speech,P14,open document
Touch,P13,close document
Touch,P13,open document
Touch,P13,close document
Speech,P14,close document
Speech,P14,open document
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,close document
Touch,P13,open document
Speech,P14,close document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,move document
Touch,P13,open document
Touch,P13,mark sentence
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,close document
Touch,P13,open document
Touch,P13,open document
Touch,P13,close document
Touch,P13,open document
Touch,P13,close document
Touch,P13,close document
Touch,P14,search
Touch,P14,clear search
Touch,P13,deselect document
Touch,P14,search
Touch,P13,open document
Touch,P13,scroll
Touch,P14,open document
Touch,P13,scroll
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,scroll
Touch,P13,scroll
Touch,P14,mark sentence
Touch,P14,close document
Touch,P13,scroll
Speech,P14,open document
Touch,P13,move selected docs
Touch,P13,open document
Touch,P13,scroll
Touch,P14,scroll
Touch,P14,scroll
Touch,P14,mark sentence
Touch,P14,scroll
Touch,P14,scroll
Touch,P14,scroll
Touch,P14,move selected docs
Touch,P14,open document
Touch,P14,mark sentence
Touch,P14,close document
Touch,P14,open document
Touch,P13,open document
Touch,P14,close document
Touch,P13,mark sentence
Touch,P13,mark sentence
Speech,P14,open document
Touch,P14,scroll
Touch,P13,select document
Touch,P13,close document
Touch,P13,deselect document
Touch,P14,scroll
Touch,P13,deselect document
Touch,P13,move document
Touch,P13,open document
Touch,P13,close document
Speech,P14,close document
Touch,P13,select document
Speech,P14,close document
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,move document
Touch,P13,move selected docs
Touch,P13,move selected docs
Touch,P13,move document
Touch,P13,move document
Touch,P13,move selected docs
Touch,P13,move document
Touch,P13,open document
Touch,P13,scroll
Touch,P13,scroll
Touch,P13,close document
Touch,P13,move document
Touch,P13,open document
Touch,P13,close document
Touch,P13,open document
Touch,P13,mark sentence
Touch,P13,close document
Touch,P13,open document
Touch,P13,close document
Touch,P14,search
Touch,P13,open document
Touch,P13,search
Touch,P13,add tag
Touch,P13,assign tag
Touch,P14,open document
Touch,P13,deselect all
Touch,P13,scroll
Touch,P13,scroll
Touch,P13,scroll
Touch,P13,scroll
Touch,P13,open document
Touch,P13,scroll
Touch,P14,close document
Touch,P14,move document
Touch,P14,move document
Touch,P14,move document
Touch,P14,move document
Touch,P14,open document
Touch,P13,scroll
Touch,P14,mark sentence
Touch,P14,clear sentence
Touch,P14,mark sentence
Touch,P13,select document
Touch,P13,move selected docs
Touch,P13,open document
Touch,P14,open document
Touch,P13,scroll
Touch,P13,move selected docs
Touch,P14,mark sentence
Touch,P13,scroll
Touch,P14,scroll
Touch,P14,close document
Touch,P14,open document
Touch,P13,scroll
Touch,P13,clear search
Touch,P14,clear search
Touch,P13,search
Touch,P13,scroll
Touch,P13,close document
Touch,P13,close document
Touch,P13,move document
Touch,P13,open document
Touch,P13,close document
Touch,P13,move document
Touch,P13,open document
Touch,P13,close document
Touch,P13,open document
Touch,P13,close document
Touch,P13,move document
Speech,P16,deselect all
Touch,P16,move document
Touch,P16,move document
Touch,P16,open document
Touch,P15,open document
Touch,P16,resize document
Touch,P15,scroll
Touch,P15,select document
Touch,P15,deselect document
Touch,P16,sort
Touch,P16,close document
Touch,P16,close document
Touch,P16,open document
Touch,P16,close document
Touch,P15,select document
Touch,P15,move selected docs
Touch,P16,open document
Touch,P15,move selected docs
Touch,P15,open document
Touch,P15,close document
Touch,P15,open document
Touch,P15,move selected docs
Touch,P15,move selected docs
Touch,P16,mark sentence
Touch,P16,mark sentence
Touch,P16,clear sentence
Touch,P16,clear sentence
Touch,P16,mark sentence
Touch,P16,search
Touch,P15,move selected docs
Touch,P15,resize document
Touch,P16,search
Touch,P15,resize document
Touch,P16,open document
Touch,P16,resize document
Touch,P16,close document
Touch,P15,deselect document
Touch,P15,close document
Touch,P15,move document
Touch,P16,move document
Touch,P16,move document
Touch,P16,move document
Touch,P16,move document
Touch,P16,select document
Touch,P16,add tag
Touch,P16,assign tag
Touch,P16,remove tag
Speech,P16,assign tag
Touch,P16,assign tag
Touch,P15,close document
Touch,P15,select document
Touch,P15,open document
Touch,P16,select document
Touch,P16,deselect document
Touch,P16,open document
Touch,P15,close document
Touch,P16,close document
Touch,P16,select document
Touch,P16,open document
Touch,P16,select document
Touch,P16,close document
Touch,P16,open document
Touch,P16,select document
Touch,P16,close document
Touch,P15,select document
Touch,P16,open document
Touch,P15,select document
Touch,P16,select document
Touch,P16,deselect document
Touch,P16,close document
Touch,P16,select document
Touch,P15,select document
Touch,P16,open document
Touch,P16,select document
Touch,P16,close document
Touch,P15,open document
Touch,P15,close document
Touch,P16,select document
Touch,P15,select document
Touch,P15,open document
Touch,P15,close document
Touch,P15,open document
Touch,P15,close document
Touch,P15,select document
Touch,P16,open document
Touch,P16,close document
Touch,P15,select document
Touch,P15,deselect document
Touch,P15,select document
Touch,P16,select document
Touch,P16,open document
Touch,P16,close document
Touch,P15,open document
Touch,P15,close document
Touch,P16,open document
Touch,P16,close document
Touch,P15,move selected docs
Touch,P16,move selected docs
Touch,P16,deselect document
Touch,P16,move document
Touch,P16,move document
Touch,P16,move selected docs
Touch,P16,deselect document
Touch,P16,deselect document
Touch,P16,deselect document
Touch,P16,deselect document
Touch,P16,deselect document
Touch,P16,deselect document
Touch,P16,deselect document
Touch,P16,open document
Touch,P16,close document
Touch,P16,select document
Touch,P16,select document
Touch,P16,select document
Touch,P16,select document
Touch,P16,select document
Touch,P16,select document
Touch,P16,select document
Touch,P16,select document
Touch,P16,move selected docs
Touch,P16,open document
Touch,P15,deselect document
Touch,P15,select document
Speech,P15,deselect all
Touch,P15,open document
Touch,P16,move document
Touch,P15,close document
Touch,P15,open document
Touch,P15,close document
Touch,P15,move document
Touch,P15,move document
Touch,P15,open document
Touch,P16,select document
Speech,P16,move selected docs
Speech,P16,deselect all
Touch,P16,open document
Touch,P15,scroll
Touch,P16,mark sentence
Touch,P16,clear sentence
Touch,P15,move document
Touch,P16,mark sentence
Touch,P16,mark sentence
Touch,P15,move document
Touch,P15,move document
Touch,P15,scroll
Touch,P15,scroll
Touch,P16,move document
Touch,P16,select document
Touch,P16,mark sentence
Touch,P16,clear sentence
Touch,P16,mark sentence
Touch,P15,scroll
Touch,P16,mark sentence
Touch,P15,close document
Touch,P15,move document
Touch,P16,mark sentence
Touch,P15,move document
Touch,P15,open document
Touch,P15,move document
Touch,P16,mark sentence
Touch,P16,resize document
Speech,P16,move selected docs
Touch,P15,close document
Touch,P15,move document
Touch,P16,open document
Touch,P15,move document
Touch,P15,move document
Touch,P15,open document
Touch,P15,close document
Touch,P15,move document
Touch,P15,move document
Touch,P15,open document
Touch,P15,move document
Touch,P16,mark sentence
Touch,P15,close document
Touch,P15,move document
Touch,P15,move document
Touch,P15,open document
Touch,P16,select document
Touch,P15,close document
Touch,P15,move document
Touch,P15,move document
Speech,P16,move selected docs
Touch,P15,move document
Touch,P15,open document
Touch,P16,open document
Touch,P15,scroll
Touch,P15,close document
Touch,P15,move document
Touch,P15,move document
Touch,P15,move document
Touch,P15,open document
Touch,P15,scroll
Touch,P15,move document
Touch,P15,move document
Touch,P15,move document
Touch,P15,move document
Touch,P15,move document
Touch,P15,move document
Touch,P15,move document
Touch,P16,open document
Touch,P16,resize document
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,move document
Touch,P15,move document
Touch,P15,mark sentence
Touch,P15,scroll
Touch,P16,close document
Touch,P16,move document
Touch,P16,open document
Touch,P15,mark sentence
Touch,P15,scroll
Touch,P15,scroll
Touch,P16,mark sentence
Touch,P16,clear sentence
Touch,P16,close document
Touch,P15,scroll
Touch,P16,move document
Touch,P16,move document
Touch,P16,move document
Touch,P16,move document
Touch,P16,open document
Touch,P15,scroll
Touch,P15,move document
Touch,P15,scroll
Touch,P16,move document
Touch,P15,scroll
Touch,P15,scroll
Touch,P16,mark sentence
Touch,P16,select document
Touch,P15,scroll
Speech,P16,move selected docs
Touch,P15,scroll
Touch,P15,scroll
Touch,P16,open document
Touch,P15,scroll
Touch,P15,scroll
Touch,P16,move selected docs
Touch,P16,deselect document
Touch,P16,deselect document
Touch,P16,deselect document
Touch,P16,open document
Touch,P16,move document
Touch,P15,scroll
Touch,P16,close document
Touch,P16,open document
Touch,P15,move document
Touch,P15,resize document
Touch,P16,close document
Touch,P16,move document
Touch,P15,scroll
Touch,P16,open document
Touch,P15,scroll
Touch,P16,close document
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P16,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P16,scroll
Touch,P16,close document
Touch,P16,move document
Touch,P15,scroll
Touch,P16,search
Touch,P16,search
Touch,P16,open document
Touch,P16,close document
Touch,P16,open document
Touch,P15,scroll
Touch,P15,close document
Touch,P15,move document
Touch,P16,search
Touch,P16,open document
Touch,P15,move document
Touch,P16,search
Touch,P16,move document
Touch,P16,open document
Touch,P16,mark sentence
Touch,P16,clear sentence
Touch,P16,scroll
Touch,P16,scroll
Touch,P16,close document
Touch,P16,open document
Touch,P16,move document
Touch,P16,close document
Touch,P16,open document
Touch,P16,move document
Touch,P16,scroll
Touch,P15,scroll
Touch,P16,search
Touch,P16,clear search
Touch,P15,scroll
Touch,P15,scroll
Touch,P16,search
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,close document
Touch,P15,move document
Touch,P16,search
Touch,P15,open document
Touch,P15,close document
Touch,P15,open document
Touch,P15,close document
Touch,P15,move document
Touch,P15,open document
Touch,P15,clear sentence
Touch,P15,scroll
Touch,P15,close document
Touch,P15,open document
Touch,P15,close document
Touch,P15,open document
Touch,P15,open document
Touch,P15,close document
Touch,P15,close document
Touch,P16,search
Touch,P15,open document
Touch,P16,move document
Touch,P15,close document
Touch,P15,open document
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P15,scroll
Touch,P16,search
Touch,P15,close document
Touch,P16,search
Touch,P15,close document
Touch,P15,move document
Touch,P16,open document
Touch,P16,close document
Touch,P16,open document
Touch,P15,open document
Touch,P16,search
Touch,P15,close document
Touch,P15,open document
Touch,P16,search
Touch,P16,open document
Touch,P16,close document
Touch,P15,move document
Touch,P15,search
Touch,P16,search
Touch,P16,open document
Touch,P15,scroll
Touch,P16,resize document
Touch,P16,close document
Touch,P15,scroll
Touch,P16,search
Touch,P15,scroll
Touch,P16,open document
