participant,task,preference
P15,addtag,Speech
P15,assigntag,Speech
P15,selecttag,I prefer them equally
P15,removetag,Speech
P15,deletetag,Touch
P16,open,Touch
P16,close,Touch
P16,select,Touch
P16,deselect,Touch
P16,sort,I prefer neither
P16,resize,Touch
P16,move,Touch
P16,scroll,Touch
P16,mark,Touch
P16,clear,Touch
P16,search,I prefer neither
P16,clearsearch,I prefer neither
P16,addtag,Touch
P16,assigntag,Touch
P16,selecttag,I prefer neither
P16,removetag,Touch
P16,deletetag,Touch
P17,open,Touch
P17,close,Touch
P17,select,I prefer them equally
P17,deselect,I prefer them equally
P17,sort,Speech
P17,resize,Touch
P17,move,Touch
P17,scroll,Touch
P17,mark,Touch
P17,clear,Touch
P17,search,I prefer them equally
P17,clearsearch,Speech
P17,addtag,Speech
P17,assigntag,Touch
P17,selecttag,Speech
P17,removetag,Touch
P17,deletetag,Touch
P18,open,Touch
P18,close,Touch
P18,select,Touch
P18,deselect,Speech
P18,sort,Speech
P18,resize,Touch
P18,move,Touch
P18,scroll,Touch
P18,mark,Touch
P18,clear,Touch
P18,search,Touch
P18,clearsearch,I prefer them equally
P18,addtag,Touch
P18,assigntag,Touch
P18,selecttag,I prefer them equally
P18,removetag,Touch
P18,deletetag,Touch
P19,open,Touch
P19,close,Touch
P19,select,Touch
P19,deselect,Touch
P19,sort,Speech
P19,resize,Touch
P19,move,Touch
P19,scroll,Touch
P19,mark,Touch
P19,clear,Touch
P19,search,Touch
P19,clearsearch,Touch
P19,addtag,Touch
P19,assigntag,Touch
P19,selecttag,Touch
P19,removetag,Touch
P19,deletetag,Touch
P20,open,Touch
P20,close,Touch
P20,select,Touch
P20,deselect,Touch
P20,sort,Speech
P20,resize,Touch
P20,move,Touch
P20,scroll,Touch
P20,mark,Touch
P20,clear,Touch
P20,search,Touch
P20,clearsearch,Touch
P20,addtag,Touch
P20,assigntag,Touch
P20,selecttag,Touch
P20,removetag,Touch
P20,deletetag,Touch
